Date,Date.1,UNIONBANK.NS.Open,UNIONBANK.NS.High,UNIONBANK.NS.Low,UNIONBANK.NS.Close,UNIONBANK.NS.Volume,UNIONBANK.NS.Adjusted,log_returns
2014-02-14,2014-02-14,102.650002,102.949997,100.5,102.5,3258322.0,96.28952,0.00489004816626526
2014-02-17,2014-02-17,103.300003,103.599998,101.599998,102.800003,1468070.0,96.57135,0.002922627079407825
2014-02-18,2014-02-18,102.550003,105.599998,102.5,104.900002,1975334.0,98.544113,0.020222182262069843
2014-02-19,2014-02-19,105.0,105.949997,103.800003,104.650002,1319138.0,98.309258,-0.002386091843229465
2014-02-20,2014-02-20,104.0,104.0,102.300003,102.800003,2366353.0,96.57135,-0.017836090418840378
2014-02-21,2014-02-21,102.599998,104.0,102.599998,103.050003,2276766.0,96.806198,0.002428907780534395
2014-02-24,2014-02-24,102.5,103.699997,101.5,103.25,2072212.0,96.994087,0.001938996724048181
2014-02-25,2014-02-25,103.400002,103.949997,101.699997,102.050003,1386863.0,95.866798,-0.011690310746316436
2014-02-26,2014-02-26,102.050003,102.800003,101.449997,101.75,1457994.0,95.584969,-0.0029441274738593037
2014-02-28,2014-02-28,102.699997,103.699997,101.75,102.900002,2187277.0,96.665291,0.011238823514405638
2014-03-03,2014-03-03,102.400002,104.25,101.300003,101.550003,2218257.0,95.397087,-0.013206359779809771
2014-03-04,2014-03-04,101.949997,106.0,101.599998,105.599998,4366184.0,99.201691,0.03910701711965192
2014-03-05,2014-03-05,106.699997,109.800003,105.599998,109.199997,4486504.0,102.583572,0.033522742441008724
2014-03-06,2014-03-06,110.0,112.25,109.199997,111.550003,4489781.0,104.791183,0.021291833710768596
2014-03-07,2014-03-07,112.0,116.699997,111.25,115.300003,7048562.0,108.31398,0.033064594880372056
2014-03-10,2014-03-10,114.25,118.650002,113.5,116.949997,4667728.0,109.863998,0.01420898747499866
2014-03-11,2014-03-11,117.099998,119.25,115.699997,116.150002,3731842.0,109.112473,-0.006864006413243473
2014-03-12,2014-03-12,116.0,116.0,113.0,113.449997,2268435.0,106.576065,-0.023520257046365067
2014-03-13,2014-03-13,114.349998,117.0,112.599998,113.199997,2589937.0,106.341209,-0.0022060783593289557
2014-03-14,2014-03-14,112.0,113.199997,109.150002,112.849998,3139822.0,106.012421,-0.003096610712319148
2014-03-18,2014-03-18,113.5,119.400002,113.449997,118.449997,5124623.0,111.273109,0.04843135433117318
