Date,Date.1,ICICIBANK.NS.Open,ICICIBANK.NS.High,ICICIBANK.NS.Low,ICICIBANK.NS.Close,ICICIBANK.NS.Volume,ICICIBANK.NS.Adjusted,log_returns
2015-04-29,2015-04-29,298.0,304.364014,295.545013,300.135986,24501414.0,283.35434,0.0100457073303728
2015-04-30,2015-04-30,300.908997,303.27301,295.635986,301.045013,20787995.0,284.212555,0.0030241920790112786
2015-05-04,2015-05-04,302.5,306.27301,296.545013,299.364014,11308400.0,282.625519,-0.005599624371370736
2015-05-05,2015-05-05,299.364014,300.817993,297.364014,298.591003,10109108.0,281.895782,-0.002585331696668192
2015-05-06,2015-05-06,297.182007,307.27301,281.954987,283.77301,19967507.0,267.906281,-0.05090021366423248
2015-05-07,2015-05-07,283.817993,284.545013,273.27301,276.908997,16086181.0,261.426086,-0.024485631960006412
2015-05-08,2015-05-08,281.817993,289.908997,281.817993,288.182007,15672276.0,272.068787,0.03990333807507351
2015-05-11,2015-05-11,290.954987,296.182007,290.091003,294.091003,9605442.0,277.6474,0.020297035629980087
2015-05-12,2015-05-12,294.135986,294.545013,279.091003,280.182007,13692241.0,264.516083,-0.048449908593396714
2015-05-13,2015-05-13,284.682007,290.135986,278.635986,288.77301,15431502.0,272.62674,0.030201552152030686
2015-05-14,2015-05-14,288.817993,289.045013,282.954987,286.317993,11672150.0,270.30899,-0.008537894824028669
2015-05-15,2015-05-15,286.635986,287.682007,282.317993,283.954987,12014773.0,268.078094,-0.008287378484979513
2015-05-18,2015-05-18,286.364014,288.091003,284.454987,287.5,7629436.0,271.424866,0.01240703084127226
2015-05-19,2015-05-19,285.408997,289.908997,283.635986,286.682007,9064851.0,270.652649,-0.002849103683503884
2015-05-20,2015-05-20,287.5,291.817993,287.5,289.77301,7555071.0,273.570801,0.010724197818440471
2015-05-21,2015-05-21,291.091003,291.635986,284.27301,285.045013,11132704.0,269.107178,-0.01645072708606321
2015-05-22,2015-05-22,286.364014,289.22699,283.408997,285.091003,8944914.0,269.150604,0.00016135763028923833
2015-05-25,2015-05-25,283.635986,285.545013,282.682007,283.77301,5481212.0,267.906281,-0.004633867515107859
2015-05-26,2015-05-26,283.635986,284.545013,280.591003,281.545013,5505501.0,265.802856,-0.007882330448730102
2015-05-27,2015-05-27,283.454987,286.182007,279.545013,284.682007,12557150.0,268.764465,0.01108051010685518
2015-05-28,2015-05-28,285.682007,287.27301,283.182007,285.908997,11520281.0,269.922882,0.004300894729089677
2015-05-29,2015-05-29,288.27301,289.908997,286.182007,288.408997,22664704.0,272.283051,0.008705857915431992
2015-06-01,2015-06-01,288.182007,290.0,287.27301,287.682007,7621776.0,271.596741,-0.0025237575448624483
2015-06-02,2015-06-02,288.182007,288.635986,275.454987,276.817993,13982209.0,261.340179,-0.0384954698566542
2015-06-03,2015-06-03,276.591003,276.591003,264.364014,268.864014,22831293.0,253.830917,-0.029154562240139906
2015-06-04,2015-06-04,265.27301,266.182007,259.5,263.72699,20759124.0,253.699112,-0.0005193978501045748
2015-06-05,2015-06-05,264.72699,265.817993,257.27301,258.27301,23735128.0,248.452499,-0.02089729004243956
2015-06-08,2015-06-08,259.682007,259.682007,254.863998,257.408997,21145729.0,247.621338,-0.0033509599408851893
2015-06-09,2015-06-09,257.182007,261.635986,256.408997,261.0,19411474.0,251.07579,0.013854129325928001
2015-06-10,2015-06-10,260.908997,267.591003,260.635986,265.908997,17487792.0,255.798141,0.018633775977300537
2015-06-11,2015-06-11,269.091003,270.182007,260.454987,262.27301,21760536.0,252.3004,-0.013768180661986484
2015-06-12,2015-06-12,263.182007,270.0,261.045013,269.045013,20748571.0,258.814911,0.02549273582669631
2015-06-15,2015-06-15,268.182007,273.045013,266.545013,272.0,17020705.0,261.657562,0.010923456717842228
2015-06-16,2015-06-16,270.045013,275.454987,267.182007,274.591003,15828124.0,264.15002400000003,0.009480580863304944
2015-06-17,2015-06-17,276.591003,276.635986,272.77301,273.954987,16849471.0,263.538177,-0.002318972730606106
2015-06-18,2015-06-18,276.864014,277.908997,274.864014,275.77301,15455462.0,265.287109,0.006614427950806245
2015-06-19,2015-06-19,273.091003,278.182007,273.091003,276.864014,9060393.0,266.336609,0.003948286458447471
2015-06-22,2015-06-22,278.545013,287.182007,278.22699,286.408997,17123638.0,275.518646,0.033894350737067924
2015-06-23,2015-06-23,286.317993,288.0,283.635986,285.0,13093667.0,274.16323900000003,-0.00493161511789797
2015-06-24,2015-06-24,285.182007,291.27301,284.22699,288.864014,14984901.0,277.88031,0.013466789647915256
2015-06-25,2015-06-25,287.591003,290.591003,284.72699,286.182007,18385231.0,275.300323,-0.009327896000119296
2015-06-26,2015-06-26,286.364014,286.408997,280.5,283.364014,11342004.0,272.589478,-0.009895665575301749
2015-06-29,2015-06-29,274.545013,284.545013,272.864014,282.908997,11605396.0,272.15173300000004,-0.0016071671662967189
2015-06-30,2015-06-30,281.864014,285.091003,276.408997,280.0,15125140.0,269.353333,-0.01033572938755345
2015-07-01,2015-07-01,280.635986,285.0,280.635986,283.817993,15481941.0,273.026184,0.013543679389351304
2015-07-02,2015-07-02,285.72699,286.77301,282.817993,284.545013,9252724.0,273.725525,0.0025581680674253704
2015-07-03,2015-07-03,283.408997,286.817993,282.635986,285.954987,5716324.0,275.081909,0.004943033485859338
2015-07-06,2015-07-06,281.0,287.954987,277.5,286.5,8562221.0,275.606201,0.0019041346594965702
2015-07-07,2015-07-07,285.454987,289.091003,283.22699,284.182007,10617091.0,273.376343,-0.008123647235765752
2015-07-08,2015-07-08,280.364014,283.27301,278.454987,279.591003,13252579.0,268.95993,-0.01628698225209391
2015-07-09,2015-07-09,279.091003,282.682007,277.908997,281.364014,6959347.0,270.665497,0.006321320657136198
2015-07-10,2015-07-10,284.091003,286.27301,282.045013,284.682007,10664156.0,273.85733,0.011723547293854608
2015-07-13,2015-07-13,285.908997,288.364014,284.364014,287.635986,8964077.0,276.698975,0.010322905063538279
2015-07-14,2015-07-14,288.182007,288.27301,283.682007,284.954987,8304878.0,274.119934,-0.009364456465923432
2015-07-15,2015-07-15,285.364014,287.27301,284.864014,286.045013,7378093.0,275.168518,0.0038179767659212156
2015-07-16,2015-07-16,286.135986,289.317993,285.817993,288.27301,13466904.0,277.31176800000003,0.007758686801229153
2015-07-17,2015-07-17,289.091003,291.817993,287.77301,288.591003,9339700.0,277.617676,0.001102511442829801
2015-07-20,2015-07-20,289.954987,290.72699,283.72699,287.091003,9420104.0,276.174744,-0.0052111051476924075
2015-07-21,2015-07-21,288.635986,288.635986,282.182007,283.135986,10702263.0,272.370087,-0.013872040339253822
